,Real,Pred
1046,5.25,29.101059
1047,1.95000000000001,27.027832
1048,1.95000000000001,28.384682
1049,1.95000000000001,37.156837
1050,10.0,51.1009
1051,22.510000000000005,62.0327
1052,29.25,65.73543
1053,26.4,62.759422
1054,15.25,53.094707
1055,5.000000000000007,40.656067
1056,1.95000000000001,12.241779
1057,0.9999999999999929,11.330418
1058,0.1599999999999966,10.495026
1059,0.1599999999999966,10.345657
1060,0.8999999999999986,10.159554
1061,1.5,10.37767
1062,1.95000000000001,10.669235
1063,15.509999999999998,11.223705
1064,41.4,11.715252
1065,38.98,12.110027
1066,23.75,12.161911
1067,13.950000000000003,12.121216
1068,12.030000000000001,12.333817
1069,10.009999999999998,12.112087
1070,3.8400000000000034,11.54583
1071,1.9600000000000009,11.288628
1072,1.95000000000001,10.950741
1073,5.000000000000007,10.5107765
1074,25.0,11.163956
1075,43.7,14.040962
1076,45.59,18.783642
1077,42.1,25.080772
1078,21.689999999999998,24.297401
1079,2.3500000000000085,18.790985
1080,1.95000000000001,2.4166298
1081,1.95000000000001,1.7280159
1082,1.9400000000000048,1.1697273
1083,0.9999999999999929,1.0134277
1084,1.009999999999998,0.9510155
1085,1.95000000000001,1.1760483
1086,2.000000000000007,1.1730995
1087,15.119999999999997,1.4267273
1088,35.15,1.9942398
1089,33.510000000000005,2.780529
1090,27.200000000000003,3.1609154
1091,15.0,4.005863
1092,12.439999999999998,4.485672
1093,12.439999999999998,4.497757
1094,12.0,4.273575
1095,12.189999999999998,4.5662193
1096,25.0,5.5820465
1097,39.7,8.877602
1098,53.2,15.08025
1099,68.25,21.652416
1100,61.24,28.103344
1101,50.03,28.806911
1102,48.25,22.804268
1103,43.05,15.327023
1104,42.01,18.405643
1105,41.36,10.165783
1106,40.0,5.2886543
1107,37.4,2.721653
1108,38.04,1.6023216
1109,38.83,2.608509
1110,41.83,5.6431923
1111,53.36,11.568596
1112,60.25,18.66853
1113,61.27,28.23162
1114,56.1,29.676952
1115,48.14,23.625816
1116,39.95,17.890434
1117,35.69,14.116146
1118,29.0,12.633686
1119,26.700000000000003,13.400871
1120,26.620000000000005,18.630253
1121,30.189999999999998,29.760872
1122,40.7,42.06487
1123,52.47,48.732574
1124,57.6,50.726032
1125,48.37,46.135765
1126,35.69,35.546974
1127,24.760000000000005,24.792953
1128,21.75,35.758987
1129,8.950000000000003,32.78809
1130,5.020000000000003,30.521622
1131,3.740000000000009,28.119156
1132,5.209999999999994,25.855953
1133,10.200000000000003,25.358479
1134,24.200000000000003,25.880901
1135,35.5,28.573162
1136,46.19,33.782646
1137,48.33,39.28167
1138,46.47,40.78676
1139,44.05,39.38588
1140,40.01,38.013382
1141,43.52,36.743744
1142,38.0,35.292366
1143,38.0,34.03578
1144,38.0,36.535446
1145,46.98,43.90587
1146,55.72,49.59858
1147,61.16,52.090145
1148,60.0,52.69556
1149,52.75,50.27459
1150,50.47,45.124405
1151,44.05,40.070107
1152,25.67,37.922966
1153,22.5,33.296413
1154,17.75,29.408112
