,Predicciones,Reales
2021-01-21 00:00:00,45.88699999999999,30.7
2021-01-21 01:00:00,41.96139999999999,21.12
2021-01-21 02:00:00,41.05080000000002,11.19
2021-01-21 03:00:00,40.791000000000004,3.67
2021-01-21 04:00:00,35.53920000000001,3.15
2021-01-21 05:00:00,40.72506666666668,16.77
2021-01-21 06:00:00,45.794866666666636,37.5
2021-01-21 07:00:00,51.30693333333327,49.52
2021-01-21 08:00:00,57.283466666666634,56.3
2021-01-21 09:00:00,61.388000000000005,58.75
2021-01-21 10:00:00,56.888933333333284,55.84
2021-01-21 11:00:00,52.22926666666661,54.28
2021-01-21 12:00:00,51.42539999999993,50.56
2021-01-21 13:00:00,51.18399999999995,49.72
2021-01-21 14:00:00,48.02226666666664,43.73
2021-01-21 15:00:00,49.07893333333332,46.9
2021-01-21 16:00:00,49.240399999999994,47.34
2021-01-21 17:00:00,51.27733333333326,50.87
2021-01-21 18:00:00,52.81819999999996,55.84
2021-01-21 19:00:00,63.99613333333337,57.26
2021-01-21 20:00:00,65.53746666666669,55.16
2021-01-21 21:00:00,62.28566666666671,51.79
2021-01-21 22:00:00,51.46759999999995,48.97
2021-01-21 23:00:00,49.351733333333314,42.4
2021-01-22 00:00:00,34.14726666666665,35.95
2021-01-22 01:00:00,30.994666666666653,28.95
2021-01-22 02:00:00,26.522333333333336,25.71
2021-01-22 03:00:00,24.51633333333332,23.96
2021-01-22 04:00:00,23.808533333333322,23.03
2021-01-22 05:00:00,26.50306666666669,27.45
2021-01-22 06:00:00,35.407000000000004,29.85
2021-01-22 07:00:00,46.84439999999999,41.05
2021-01-22 08:00:00,53.352199999999996,51.01
2021-01-22 09:00:00,53.97833333333333,53.5
2021-01-22 10:00:00,53.26399999999998,51.05
2021-01-22 11:00:00,52.23246666666662,47.29
2021-01-22 12:00:00,49.50446666666665,44.01
2021-01-22 13:00:00,46.98106666666663,42.6
2021-01-22 14:00:00,41.32859999999999,37.5
2021-01-22 15:00:00,39.77573333333332,37.5
2021-01-22 16:00:00,40.91119999999998,39.3
2021-01-22 17:00:00,49.826466666666654,48.69
2021-01-22 18:00:00,54.202933333333334,54.82
