,Real,Pred,MAE,MAPE
2021-08-17 12:00:00,105.45,84.62821,20.821788024902347,19.745650094739066
2021-08-17 13:00:00,113.36,87.55393,25.806067810058593,22.764703431597205
2021-08-17 14:00:00,116.38,88.0845,28.29549682617187,24.313023566052475
2021-08-17 15:00:00,116.38,85.33423,31.045771484374995,26.676208527560576
2021-08-17 16:00:00,112.0,84.3065,27.693496704101562,24.726336342947825
2021-08-17 17:00:00,110.0,84.205795,25.794204711914062,23.449277010830965
2021-08-17 18:00:00,110.35,84.38332,25.9666763305664,23.53119739969769
2021-08-17 19:00:00,116.75,93.90809,22.84191131591797,19.564806266310892
2021-08-17 20:00:00,125.53,108.26775,17.262246398925782,13.751490798156443
2021-08-17 21:00:00,126.83999999999999,112.666336,14.173663940429677,11.174443346286408
2021-08-17 22:00:00,125.64,111.468925,14.171074523925782,11.27911057300683
2021-08-17 23:00:00,116.91,97.349915,19.560085449218747,16.730891668136813
2021-08-18 00:00:00,103.21,108.1225,4.912497558593756,4.75971084061017
2021-08-18 01:00:00,91.02,91.60143,0.5814328002929727,0.6387967482893571
2021-08-18 02:00:00,89.5,85.60243,3.8975677490234375,4.354824300584846
2021-08-18 03:00:00,89.14,84.262985,4.877014770507813,5.471185517733692
2021-08-18 04:00:00,89.14,83.84335,5.296646728515626,5.9419415846035735
2021-08-18 05:00:00,89.5,84.606384,4.89361572265625,5.467727064420391
2021-08-18 06:00:00,112.0,86.98406,25.01593780517578,22.33565875462123
2021-08-18 07:00:00,119.85,94.409164,25.440835571289057,21.227230347341724
2021-08-18 08:00:00,125.0,108.96827,16.03173065185547,12.825384521484375
2021-08-18 09:00:00,120.0,108.91206,11.087936401367188,9.239947001139322
2021-08-18 10:00:00,113.05,96.83371,16.216290283203122,14.344352307123506
2021-08-18 11:00:00,115.0,94.5886,20.411399841308594,17.74904334026834
2021-08-18 12:00:00,119.65,100.332634,19.317366027832037,16.144894298229868
2021-08-18 13:00:00,121.1,108.35222,12.747781372070307,10.52665678948828
2021-08-18 14:00:00,120.0,113.088264,6.911735534667969,5.759779612223307
2021-08-18 15:00:00,116.86,112.10431,4.755690917968749,4.069562654431584
2021-08-18 16:00:00,116.86,109.51195,7.348052368164062,6.287910635088193
2021-08-18 17:00:00,116.44,106.91223,9.527768554687498,8.182556299113275
2021-08-18 18:00:00,116.86,106.63198,10.228019104003906,8.752369590966888
2021-08-18 19:00:00,126.78,114.510765,12.269234924316407,9.677579211481628
2021-08-18 20:00:00,128.12,124.54907,3.5709277343750045,2.787174316558698
2021-08-18 21:00:00,129.37,125.67229,3.697713012695317,2.8582461256050995
2021-08-18 22:00:00,127.59999999999998,124.625,2.97499999999998,2.331504702194342
2021-08-18 23:00:00,125.65,112.10391,13.54608764648438,10.780809905677978
2021-08-19 00:00:00,120.5,111.599464,8.900535583496094,7.386336583814186
2021-08-19 01:00:00,119.04,94.23664,24.803359069824225,20.83615513258083
2021-08-19 02:00:00,117.49,89.850174,27.639826049804682,23.52525836224758
2021-08-19 03:00:00,116.0,88.65489,27.345108032226562,23.57336899329876
2021-08-19 04:00:00,115.45,88.241516,27.208483886718753,23.56733121413491
2021-08-19 05:00:00,116.0,92.62755,23.372451782226562,20.148665329505658
2021-08-19 06:00:00,120.5,109.42409,11.075912475585938,9.191628610444761
2021-08-19 07:00:00,122.62,119.35749,3.2625094604492233,2.6606666615961694
2021-08-19 08:00:00,125.0,122.34628,2.653717041015625,2.1229736328124997
2021-08-19 09:00:00,122.01,116.89671,5.113286743164068,4.19087512758304
2021-08-19 10:00:00,118.24,107.8277,10.412302246093745,8.806074294734223
2021-08-19 11:00:00,115.45,110.828445,4.62155456542969,4.003078878674483
2021-08-19 12:00:00,115.45,116.885826,1.435826110839841,1.2436778785966573
2021-08-19 13:00:00,112.95,120.10441,7.154408264160153,6.334137462735859
2021-08-19 14:00:00,112.95,119.838455,6.88845520019531,6.098676582731571
2021-08-19 15:00:00,104.38,117.36083,12.980832214355473,12.436129732089935
2021-08-19 16:00:00,104.07,116.873215,12.803214721679694,12.302502855462375
2021-08-19 17:00:00,104.99,116.54296,11.552961120605474,11.00386810230067
2021-08-19 18:00:00,113.27,116.23572,2.965717773437504,2.618272952624264
2021-08-19 19:00:00,123.2,124.17176,0.9717605590820284,0.7887666875665815
2021-08-19 20:00:00,126.14,128.27898,2.138976440429687,1.6957162204135776
2021-08-19 21:00:00,124.93,128.53926,3.6092608642578057,2.8890265462721567
2021-08-19 22:00:00,121.67,127.293785,5.623785095214842,4.622162484766041
2021-08-19 23:00:00,119.04,114.103966,4.9360342407226625,4.1465341403920215
2021-08-20 00:00:00,119.45,118.25122,1.1987792968750028,1.003582500523234
2021-08-20 01:00:00,117.3,115.81498,1.485020446777341,1.2660020859141867
2021-08-20 02:00:00,114.68,112.74981,1.930190734863288,1.683110162943223
2021-08-20 03:00:00,109.99,110.60492,0.6149194335937551,0.5590684913117148
2021-08-20 04:00:00,106.0,110.01965,4.0196533203125,3.7921257738797167
2021-08-20 05:00:00,110.51,110.30821,0.20178771972656762,0.18259679642255688
2021-08-20 06:00:00,114.62,111.903824,2.716176147460942,2.3697226901596076
2021-08-20 07:00:00,115.59,111.9959,3.5940969848632847,3.10934941159554
2021-08-20 08:00:00,115.12,112.30159,2.818410034179692,2.448236652345111
